Model,MAE,MSE,RMSE,R2
XGBoost,0.29923426670571623,0.2048552985424893,0.452609432670696,0.8436707150637137
Random Forest,0.3269317514410229,0.25506048856839614,0.5050351359741183,0.805358103612209
Decision Tree,0.40453597829078136,0.35753944005183186,0.5979460176736959,0.7271543113724733
Linear Regression,0.4980618246604408,0.46199073674543767,0.6796990045199696,0.6474453820015666
